County,Species,Product,Units,Year,Avg,Min,Max,NumReports
*Statewide*,Ash,Sawlogs,per MBF,2020,177,56,347,477
*Statewide*,Aspen/poplar,Sawlogs,per MBF,2020,97,30,245,74
*Statewide*,Beech,Sawlogs,per MBF,2020,127,10,256,44
*Statewide*,Cedar,Sawlogs,per MBF,2020,101,20,175,134
*Statewide*,Hemlock,Sawlogs,per MBF,2020,61,25,125,409
*Statewide*,Red oak,Sawlogs,per MBF,2020,251,100,480,487
*Statewide*,Red pine,Sawlogs,per MBF,2020,62,20,147,67
*Statewide*,Red/white maple,Sawlogs,per MBF,2020,115,50,330,455
*Statewide*,Spruce/fir,Sawlogs,per MBF,2020,118,45,196,476
*Statewide*,Sugar maple,Sawlogs,per MBF,2020,186,75,431,441
*Statewide*,White birch,Sawlogs,per MBF,2020,133,50,320,417
*Statewide*,White oak,Sawlogs,per MBF,2020,175,50,315,60
*Statewide*,White pine,Sawlogs,per MBF,2020,168,65,251,915
*Statewide*,Yellow birch,Sawlogs,per MBF,2020,150,50,331,379
*Statewide*,Ash,Sawlogs,per MBF,2019,197,,,
*Statewide*,Aspen/poplar,Sawlogs,per MBF,2019,98,,,
*Statewide*,Beech,Sawlogs,per MBF,2019,133,,,
*Statewide*,Cedar,Sawlogs,per MBF,2019,104,,,
*Statewide*,Hemlock,Sawlogs,per MBF,2019,67,,,
*Statewide*,Red oak,Sawlogs,per MBF,2019,265,,,
*Statewide*,Red pine,Sawlogs,per MBF,2019,72,,,
*Statewide*,Red/white maple,Sawlogs,per MBF,2019,157,,,
*Statewide*,Spruce/fir,Sawlogs,per MBF,2019,128,,,
*Statewide*,Sugar maple,Sawlogs,per MBF,2019,254,,,
*Statewide*,White birch,Sawlogs,per MBF,2019,158,,,
*Statewide*,White oak,Sawlogs,per MBF,2019,135,,,
*Statewide*,White pine,Sawlogs,per MBF,2019,175,,,
*Statewide*,Yellow birch,Sawlogs,per MBF,2019,198,,,
Aroostook,Ash,Sawlogs,per MBF,2020,179,100,296,31
Aroostook,Aspen/poplar,Sawlogs,per MBF,2020,,,,
Aroostook,Beech,Sawlogs,per MBF,2020,,,,
Aroostook,Cedar,Sawlogs,per MBF,2020,108,33,175,61
Aroostook,Hemlock,Sawlogs,per MBF,2020,74,45,96,7
Aroostook,Red oak,Sawlogs,per MBF,2020,,,,
Aroostook,Red pine,Sawlogs,per MBF,2020,,,,
Aroostook,Red/white maple,Sawlogs,per MBF,2020,79,50,275,40
Aroostook,Spruce/fir,Sawlogs,per MBF,2020,109,48,190,57
Aroostook,Sugar maple,Sawlogs,per MBF,2020,187,100,421,51
Aroostook,White birch,Sawlogs,per MBF,2020,207,110,271,24
Aroostook,White oak,Sawlogs,per MBF,2020,,,,
Aroostook,White pine,Sawlogs,per MBF,2020,156,66,197,19
Aroostook,Yellow birch,Sawlogs,per MBF,2020,149,71,331,35
