SPCD,SPECIES_SYMBOL,COMMON_NAME,SPP_SCI,SFTWD_HRDWD,WOOD_SPGR_GREENVOL_DRYWT,ShadeTol,DroughtTol,FloodTol
11,ABAM,Pacific silver fir,Abies amabilis,S,0.4,4.21,0.8,1
12,ABBA,balsam fir,Abies balsamea,S,0.33,5.01,1,2
14,ABBR,Santa Lucia or bristlecone fir,Abies bracteata,S,0.36,4.24,1.82,1.4
15,ABCO,white fir,Abies concolor,S,0.37,4.33,1.9,1
16,ABFR,Fraser fir,Abies fraseri,S,0.36,5,2,2
17,ABGR,grand fir,Abies grandis,S,0.35,4.01,2.3,1.5
18,ABLAA,corkbark fir,Abies lasiocarpa,S,0.36,4.83,2,0.9
19,ABLA,subalpine fir,Abies lasiocarpa,S,0.31,4.83,2,0.9
20,ABMA,California red fir,Abies magnifica,S,0.36,3.5,0.6,1
22,ABPR,noble fir,Abies procera,S,0.37,2.45,2.5,1
21,ABSH,Shasta red fir,Abies shastensis,S,0.36,4.24,1.82,1.4
10,ABIES,fir spp.,Abies spp.,S,0.36,4.24,1.82,1.4
303,ACFA,sweet acacia,Acacia farnesiana,H,0.52,1,5,1
304,ACGR,catclaw acacia,Acacia greggii,H,0.52,1,5,1
300,ACACI,acacia spp.,Acacia spp.,H,0.52,1,5,1
311,ACBA3,Florida maple,Acer barbatum,H,0.47,4.5,2.5,1
321,ACGL,Rocky Mountain maple,Acer glabrum,H,0.47,3.39,2.8,1.2
322,ACGR3,bigtooth maple,Acer grandidentatum,H,0.47,3,2.6,1.2
323,ACLE,chalk maple,Acer leucoderme,H,0.47,3.58,2.54,1.55
312,ACMA3,bigleaf maple,Acer macrophyllum,H,0.44,4.14,2,2
313,ACNE2,boxelder,Acer negundo,H,0.42,3.47,3,2.7
314,ACNI5,black maple,Acer nigrum,H,0.52,3,3.3,1.5
315,ACPE,striped maple,Acer pensylvanicum,H,0.44,3.56,2,1
320,ACPL,Norway maple,Acer platanoides,H,0.47,4.2,2.7,1.4
316,ACRU,red maple,Acer rubrum,H,0.49,3.44,1.8,3
317,ACSA2,silver maple,Acer saccharinum,H,0.44,3.6,2.8,3.3
318,ACSA3,sugar maple,Acer saccharum,H,0.56,4.76,2.2,1
319,ACSP2,mountain maple,Acer spicatum,H,0.47,3.31,2,2
310,ACER,maple spp.,Acer spp.,H,0.47,3.58,2.54,1.55
906,ACWR4,"Everglades palm, paurotis-palm",Acoelorraphe wrightii,H,0.52,2.45,2.82,1.93
333,AECA,California buckeye,Aesculus californica,H,0.33,2.5,2.8,1.7
332,AEFL,yellow buckeye,Aesculus flava,H,0.33,4.14,2,1.1
331,AEGL,Ohio buckeye,Aesculus glabra,H,0.33,3.49,2.8,1.2
334,AEGLA,Texas buckeye,Aesculus glabra,H,0.33,3.49,2.8,1.2
336,AEPA,red buckeye,Aesculus pavia,H,0.33,4,2,2
330,AESCU,"buckeye, horsechestnut spp.",Aesculus spp.,H,0.33,3.45,2.4,1.73
337,AESY,painted buckeye,Aesculus sylvatica,H,0.33,3.56,2,2
341,AIAL,ailanthus,Ailanthus altissima,H,0.46,2.44,2.9,1.5
345,ALJU,"mimosa, silktree",Albizia julibrissin,H,0.52,1.17,4.4,1.5
355,ALGL2,European alder,Alnus glutinosa,H,0.37,2.71,2.2,3.9
353,ALOB2,Arizona alder,Alnus oblongifolia,H,0.37,1,1,3
352,ALRH2,white alder,Alnus rhombifolia,H,0.37,1.5,1,3.5
351,ALRU2,red alder,Alnus rubra,H,0.37,1.83,2.5,2.5
350,ALNUS,alder spp.,Alnus spp.,H,0.37,1.6,1.98,3.02
357,AMAR3,serviceberry,Amelanchier arborea,H,0.66,4.33,2.3,3.5
358,AMSA,roundleaf serviceberry,Amelanchier sanguinea,H,0.66,2.95,3.28,2.05
356,AMELA,serviceberry spp.,Amelanchier spp.,H,0.66,2.95,3.28,2.05
852,AMEL,sea torchwood,Amyris elemifera,H,0.52,2.45,2.82,1.93
853,ANGL4,pond-apple,Annona glabra,H,0.52,2.45,2.82,1.93
362,ARAR2,Arizona madrone,Arbutus arizonica,H,0.58,2.99,3.85,1
361,ARME,Pacific madrone,Arbutus menziesii,H,0.58,3.32,3.8,1
360,ARBUT,madrone spp.,Arbutus spp.,H,0.58,2.99,3.85,1
363,ARXA80,Texas madrone,Arbutus xalapensis,H,0.58,2.99,3.85,1
367,ASTR,pawpaw,Asimina triloba,H,0.52,3.95,2,1.3
986,AVGE,black-mangrove,Avicennia germinans,H,0.52,2.45,2.82,1.93
371,BEAL2,yellow birch,Betula alleghaniensis,H,0.55,3.17,3,2
372,BELE,sweet birch,Betula lenta,H,0.6,2.58,3,1
373,BENI,river birch,Betula nigra,H,0.49,1.45,1.5,2.8
374,BEOC2,water birch,Betula occidentalis,H,0.51,3.28,1.2,2.6
375,BEPA,paper birch,Betula papyrifera,H,0.48,1.54,2,1.2
379,BEPO,gray birch,Betula populifolia,H,0.45,1.5,2.3,1
370,BETUL,birch spp.,Betula spp.,H,0.51,1.77,1.8,2.04
377,BEUB,Virginia roundleaf birch,Betula uber,H,0.51,1.77,1.8,2.04
378,BEUT,northwestern paper birch,Betula x utahensis,H,0.51,1.77,1.8,2.04
854,BUSI,gumbo limbo,Bursera simaruba,H,0.52,2.45,2.82,1.93
81,CADE27,incense-cedar,Calocedrus decurrens,S,0.35,3.21,3.7,1.2
391,CACA18,American hornbeam,Carpinus caroliniana,H,0.58,4.58,2,2.3
409,CAAL27,mockernut hickory,Carya alba,H,0.64,2.75,2.89,1.96
401,CAAQ2,water hickory,Carya aquatica,H,0.61,2.95,2,4.2
413,CACA38,southern shagbark hickory,Carya carolinae-septentrionalis,H,0.62,2.75,2.89,1.96
402,CACO15,bitternut hickory,Carya cordiformis,H,0.6,2.07,4,2.5
411,CAFL6,scrub hickory,Carya floridana,H,0.62,2.75,2.89,1.96
403,CAGL8,pignut hickory,Carya glabra,H,0.66,2.69,4,1.1
404,CAIL2,pecan,Carya illinoinensis,H,0.6,2.75,2.89,1.96
405,CALA21,shellbark hickory,Carya laciniosa,H,0.62,4.42,2,1.4
406,CAMY,nutmeg hickory,Carya myristiciformis,H,0.56,3.71,2,2
412,CAOV3,red hickory,Carya ovalis,H,0.62,2.75,2.89,1.96
407,CAOV2,shagbark hickory,Carya ovata,H,0.64,3.4,3,1.3
410,CAPA24,sand hickory,Carya pallida,H,0.62,1.56,4,1
400,CARYA,hickory spp.,Carya spp.,H,0.62,2.75,2.89,1.96
408,CATE9,black hickory,Carya texana,H,0.62,2.75,2.89,1.96
421,CADE12,American chestnut,Castanea dentata,H,0.4,3.06,3,1
424,CAMO83,Chinese chestnut,Castanea mollissima,H,0.4,1.67,2.6,1.2
422,CAPU9,Allegheny chinkapin,Castanea pumila,H,0.4,2.5,4,1
423,CAPUO,Ozark chinkapin,Castanea pumila,H,0.4,2.5,4,1
420,CASTA,chestnut spp.,Castanea spp.,H,0.4,2.68,3.1,1.1
856,CAGL11,gray sheoak,Casuarina glauca,H,0.52,2.45,2.82,1.93
857,CALE28,belah,Casuarina lepidophloia,H,0.52,2.45,2.82,1.93
855,CASUA,sheoak spp.,Casuarina spp.,H,0.52,2.45,2.82,1.93
451,CABI8,southern catalpa,Catalpa bignonioides,H,0.38,2.67,2.5,1.2
452,CASP8,northern catalpa,Catalpa speciosa,H,0.38,2.33,4.2,1.2
450,CATAL,catalpa spp.,Catalpa spp.,H,0.38,2.5,3.35,1.2
461,CELA,sugarberry,Celtis laevigata,H,0.49,3.31,3.5,2.7
463,CELAR,netleaf hackberry,Celtis laevigata,H,0.49,3.31,3.5,2.7
462,CEOC,hackberry,Celtis occidentalis,H,0.49,3.17,3.8,2.6
460,CELTI,hackberry spp.,Celtis spp.,H,0.49,2.68,3.77,2.1
471,CECA4,eastern redbud,Cercis canadensis,H,0.52,3,4,1.3
475,CELE3,curlleaf mountain-mahogany,Cercocarpus ledifolius,H,0.52,1.35,4.9,1.2
41,CHLA,Port-Orford-cedar,Chamaecyparis lawsoniana,S,0.39,3.67,2,1
42,CHNO,Alaska yellow-cedar,Chamaecyparis nootkatensis,S,0.42,4.15,2,1.9
40,CHAMA4,white-cedar spp.,Chamaecyparis spp.,S,0.37,3.94,1.9,2.75
43,CHTH2,Atlantic white-cedar,Chamaecyparis thyoides,S,0.31,3.5,1,4
431,CHCHC4,"giant chinkapin, golden chinkapin",Chrysolepis chrysophylla,H,0.42,3,4,1
858,CICA,camphortree,Cinnamomum camphora,H,0.52,3.5,2.7,1.5
859,CIFR,Florida fiddlewood,Citharexylum fruticosum,H,0.52,2.45,2.82,1.93
860,CITRU2,citrus spp.,Citrus spp.,H,0.52,2,3.1,1
