common_name, current_iv_fia, current_iv_modeled, model_reliability, modeled_iv_2010_2039_PCMB1, modeled_iv_2010_2039_GFDLA1FI, modeled_iv_2040_2069_PCMB1, modeled_iv_2040_2069_GFDLA1FI, modeled_iv_2070_2099_PCMB1, modeled_iv_2070_2099_GFDLA1FI, future_current_suit_hab_2010_2039_PCMB1, future_current_suit_hab_2010_2039_GFDLA1FI, future_current_suit_hab_2040_2069_PCMB1, future_current_suit_hab_2040_2069_GFDLA1FI, future_current_suit_hab_2070_2099_PCMB1, future_current_suit_hab_2070_2099_GFDLA1FI, change_class_2070_2099_PCMB1,change_class_2070_2099_GFDLA1FI
American basswood, 255, 311, Medium, 254, 413, 287, 529, 301, 637, 0.82, 1.33, 0.92, 1.70, 0.97, 2.05, No change, Large increase
American beech, 3543, 3659, High, 3670, 3333, 3554, 2609, 3513, 2086, 1.00, 0.91, 0.97, 0.71, 0.96, 0.57, No change, Small decrease
American chestnut, 27, 9, Medium, 15, 12, 15, 8, 16, 7, 1.67, 1.33, 1.67, 0.89, 1.78, 0.78, No change, No change
American elm, 581, 662, Medium, 657, 942, 724, 1344, 823, 1662, 0.99, 1.42, 1.09, 2.03, 1.24, 2.51, Small increase, Large increase
American holly, 7, 4, High, 5, 8, 5, 40, 5, 55, 1.25, 2.00, 1.25, 10.00, 1.25, 13.75, No change, Large increase
American hornbeam, 188, 248, Medium, 250, 286, 273, 470, 291, 546, 1.01, 1.15, 1.10, 1.90, 1.17, 2.20, No change, Large increase
American mountain-ash, 77, 33, Medium, 43, 22, 28, 5, 21, 2, 1.30, 0.67, 0.85, 0.15, 0.64, 0.06, No change, Large decrease
Atlantic white-cedar, 31, 36, Low, 35, 34, 33, 29, 35, 28, 0.97, 0.94, 0.92, 0.81, 0.97, 0.78, No change, No change
bald cypress, 0, 24, Medium, 25, 40, 24, 53, 41, 91, 1.04, 1.67, 1.00, 2.21, 1.71, 3.79, New habitat, New habitat
balsam fir, 5334, 5255, High, 4501, 3445, 3713, 1457, 3313, 1175, 0.86, 0.66, 0.71, 0.28, 0.63, 0.22, Small decrease, Large decrease
balsam poplar, 131, 125, High, 82, 73, 68, 33, 73, 39, 0.66, 0.58, 0.54, 0.26, 0.58, 0.31, Small decrease, Large decrease
bigtooth aspen, 507, 613, High, 550, 628, 589, 562, 606, 461, 0.90, 1.02, 0.96, 0.92, 0.99, 0.75, No change, Small decrease
bitternut hickory, 46, 21, Low, 36, 116, 36, 280, 54, 420, 1.71, 5.52, 1.71, 13.33, 2.57, 20.00, No change, Large increase
black ash, 313, 436, High, 298, 394, 290, 322, 296, 297, 0.68, 0.90, 0.67, 0.74, 0.68, 0.68, Small decrease, Small decrease
black cherry, 1355, 1561, High, 1630, 1889, 1752, 2160, 1807, 2175, 1.04, 1.21, 1.12, 1.38, 1.16, 1.39, No change, Small increase
black hickory, 0, 0, High, 0, 6, 0, 188, 0, 588, 0.00, , 0.00, , 0.00, , ―, New habitat
black locust, 40, 79, Low, 101, 234, 143, 508, 182, 768, 1.28, 2.96, 1.81, 6.43, 2.30, 9.72, Large increase, Large increase
black maple, 5, 1, Low, 1, 1, 1, 1, 1, 0, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, No change, Small decrease
black oak, 473, 563, High, 654, 964, 803, 1627, 900, 2059, 1.16, 1.71, 1.43, 2.89, 1.60, 3.66, Small increase, Large increase
black spruce, 475, 537, High, 345, 294, 266, 30, 222, 5, 0.64, 0.55, 0.50, 0.06, 0.41, 0.01, Large decrease, Large decrease
black walnut, 9, 31, Medium, 40, 204, 99, 587, 138, 801, 1.29, 6.58, 3.19, 18.94, 4.45, 25.84, Small increase, Large increase
black willow, 124, 136, Low, 135, 243, 153, 448, 181, 623, 0.99, 1.79, 1.13, 3.29, 1.33, 4.58, Small increase, Large increase
blackgum, 37, 62, High, 107, 130, 139, 336, 165, 500, 1.73, 2.10, 2.24, 5.42, 2.66, 8.07, No change, Large increase
blackjack oak, 0, 2, Medium, 1, 7, 2, 122, 3, 413, 0.50, 3.50, 1.00, 61.00, 1.50, 206.50, ―, New habitat
boxelder, 49, 99, Medium, 77, 235, 84, 350, 104, 543, 0.78, 2.37, 0.85, 3.54, 1.05, 5.49, No change, Large increase
bur oak, 12, 32, Medium, 13, 100, 14, 217, 21, 397, 0.41, 3.13, 0.44, 6.78, 0.66, 12.41, No change, Large increase
butternut, 81, 40, Low, 50, 50, 46, 32, 48, 21, 1.25, 1.25, 1.15, 0.80, 1.20, 0.53, No change, Small decrease
cedar elm, 0, 1, Low, 0, 0, 0, 0, 0, 49, 0.00, 0.00, 0.00, 0.00, 0.00, 49.00, ―, New habitat
cherrybark oak, 0, 2, Medium, 7, 8, 6, 10, 7, 42, 3.50, 4.00, 3.00, 5.00, 3.50, 21.00, New habitat, New habitat
chestnut oak, 91, 191, High, 240, 287, 323, 740, 351, 964, 1.26, 1.50, 1.69, 3.87, 1.84, 5.05, Small increase, Large increase
