id,ExpNum,Inv,MU,Plot,Month,Year,TreeNum,HT,BLC,Rad0,Rad90,Rad180,Rad270,Comments
4227,1,13,28,12,8,2007,62300,8.7,7.9,0,0,0,0,leans 90 degrees NW
6935,1,12,8,42,8,2008,23800,8.7,7.6,5.6,6.1,0,7.8,Dead top
2278,1,12,22,42,8,2014,24100,10.7,40.1,8.6,8.5,1.8,5.3,"J-SHAPED, LEAN"
5067,1,13,29B,11,7,2011,35200,10.9,6.2,3.8,0,3.4,3.9,BT
3985,1,13,27,12,7,2007,22600,11.5,5.2,2.4,2.3,1.1,0.7,Dieback/Lean
4428,1,13,28,51,8,2007,94900,11.5,8.2,0,2.3,2.7,2.7,Broken Top at 13.6
6217,1,13,6,22,8,2010,74600,11.7,4,0,18.1,0,0,Lean 85º
2335,1,11,22,42,6,2004,93500,12.3,5.2,7,0,0,0,"Longest branch is 7', leaning at 30* angle"
2362,1,11,22,54,6,2004,31400,12.6,4.2,6.7,0,8.2,3,Leaning & J-shaped
1703,1,15,20,31,10,2008,33900,13.9,10.1,4.3,0,0,6.9,
7046,1,25,9,14,8,2013,94500,14.4,4.1,14.5,3.6,12.6,14.6,
3607,1,13,24,43,8,2005,42200,14.6,6.7,2.1,1.7,9.7,9.8,"Broken Top, severely broken"
1622,1,13,17,31,6,2005,64300,15,8.8,0,16.1,8.7,0,45 degree lean
7307,1,22,9,23,9,2008,42200,15.2,39.8,4.4,6.4,11.3,5.4,Top Lean
7075,1,22,9,14,9,2008,42500,15.8,42.9,6.4,4.7,5.5,6.9,
421,1,17,12,32,8,2014,94700,16,11.5,4.4,3.5,0,4.3,BROKEN TOP
1764,1,15,20,35,10,2008,64000,16,,3.7,3.4,5.4,4.3,BLC data Removed
462,1,15,12,32,6,2004,94700,16.1,6,2,2,1.5,1,Broken top
917,1,13,15,13,8,2007,93000,16.6,7.3,2.8,1.6,4.6,3.9,
6937,1,12,8,42,8,2008,32800,16.9,6.7,0,8.5,9.3,0,Dead top
6000,1,13,4,23,7,2009,34600,17.3,4.5,6.1,7.7,0,2.8,"BT / Dying@12'.6"""
2123,1,12,21,34,11,2011,95100,17.5,16.6,0,0,3.1,0,"BT, Dead top, Lean NE"
6950,1,12,8,42,8,2008,55100,17.6,1.8,5.6,10,5.4,4,Dead top
7304,1,22,9,23,9,2008,30900,17.7,41.4,10.2,7.9,7.7,9.1,
6941,1,12,8,42,8,2008,51400,17.9,5.6,4.5,0,0,3,
6216,1,13,6,22,8,2010,74500,18.1,5.5,3.1,2.6,3.9,4.3,Dead Top
7313,1,22,9,23,9,2008,55000,18.3,54.5,6.9,10.4,9.8,10,
880,1,13,15,11,8,2007,62200,18.6,8.4,4.6,4.8,5.9,6.6,
1835,1,15,20,44,10,2008,32500,18.7,7.4,2.2,1.6,3.9,2.1,Broken Top @ 20ft
2038,1,12,21,32,11,2011,84800,18.8,12.9,0,0,0.1,0,Dead top
913,1,13,15,13,8,2007,81100,18.9,7,7,3,7.5,8.2,
1760,1,15,20,35,10,2008,60800,19,6.4,8.3,0,0,8.3,
2337,1,12,22,54,8,2014,3100,19.1,7.5,-5.5,0,7.6,0,J-SHAPED
6122,1,13,4,43,7,2009,55800,19.2,8.5,5.4,5.3,3.9,3.5,
2318,1,11,22,42,6,2004,3500,19.4,7.3,3,3.8,4.7,5.4,J-shaped
1932,1,15,20,55,10,2008,84700,19.5,14.8,0,4.6,3.9,0,dead top
6073,1,13,4,41,7,2009,42800,19.5,4.8,5.9,6.7,5,5.1,DT
2124,1,12,21,34,11,2011,95200,19.7,13.5,6.5,3.1,4.2,8.1,"BT, 45° lean NE"
855,1,13,15,11,8,2007,2000,19.9,6.8,1.4,4.8,7.7,8.2,
